"Name","Team","Age","AVG","BB%","K%","BB/K","OBP","SLG","OPS","ISO","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","wOBA","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","PA","playerid"
"Chance Sisco","Orioles","25",".212","12.5%","31.9%","0.39",".346",".404",".750",".192",".288","0.92","24.7%","36.0%","39.3%","5.1%","20.3%","3.7%","0.0%",".330","23.9%","69.7%","42.5%","55.2%","78.1%","70.5%","40.7%","58.0%","12.6%","47.7%","31.8%","20.5%","13.9%","45.0%","41.1%","295","15694"
"Anthony Santander","Orioles","25",".260","5.0%","19.4%","0.25",".299",".499",".798",".239",".274","0.77","20.6%","34.6%","44.8%","14.8%","15.9%","6.2%","0.0%",".330","40.5%","71.0%","52.1%","73.6%","86.9%","80.5%","37.9%","59.2%","10.2%","43.5%","30.1%","26.4%","19.3%","43.1%","37.7%","566","14551"
"Todd Frazier","- - -","34",".248","8.3%","20.4%","0.41",".330",".441",".771",".193",".280","0.79","22.0%","34.3%","43.7%","12.6%","13.2%","5.6%","0.0%",".329","28.0%","63.8%","42.3%","61.1%","86.5%","76.4%","40.0%","55.7%","10.0%","45.9%","36.0%","18.1%","19.5%","47.0%","33.5%","530","785"
"Shin-Soo Choo","Rangers","37",".243","12.1%","25.4%","0.48",".354",".405",".759",".163",".304","1.78","21.8%","50.2%","28.1%","4.3%","20.4%","3.6%","25.0%",".329","23.8%","65.6%","41.8%","52.9%","80.2%","71.4%","43.1%","58.2%","12.0%","39.4%","34.9%","25.7%","12.2%","46.3%","41.5%","560","3174"
"Brock Holt","- - -","32",".294","9.4%","20.0%","0.47",".365",".395",".759",".100",".365","1.69","25.9%","46.6%","27.5%","9.2%","4.6%","4.6%","0.0%",".329","26.2%","61.8%","42.0%","71.5%","89.7%","83.4%","44.4%","60.9%","7.0%","33.9%","41.5%","24.6%","14.4%","50.4%","35.2%","340","9345"
"Asdrubal Cabrera","- - -","33",".261","10.8%","18.9%","0.57",".338",".439",".777",".178",".293","1.26","22.6%","43.2%","34.2%","7.4%","13.2%","2.6%","100.0%",".329","30.4%","67.3%","45.6%","69.4%","87.8%","80.6%","41.1%","57.4%","8.9%","49.3%","30.8%","19.9%","12.3%","43.4%","44.3%","509","4962"
"Jon Berti","Marlins","30",".273","9.3%","26.4%","0.35",".355",".396",".751",".123",".370","2.10","24.4%","51.2%","24.4%","10.0%","12.0%","13.3%","50.0%",".329","24.1%","60.6%","40.2%","61.3%","86.1%","77.8%","44.1%","61.9%","8.9%","39.1%","36.2%","24.6%","17.4%","46.4%","36.2%","333","12037"
"Vladimir Guerrero Jr.","Blue Jays","21",".270","9.0%","17.4%","0.51",".338",".429",".767",".159",".307","1.70","16.4%","52.7%","31.0%","12.7%","11.9%","4.8%","0.0%",".328","30.4%","74.4%","47.7%","61.9%","86.0%","76.7%","39.4%","63.0%","11.1%","41.3%","35.3%","23.3%","19.4%","46.7%","34.0%","592","19611"
"Andrew Knapp","Phillies","28",".267","10.1%","29.1%","0.35",".359",".393",".752",".126",".386","1.04","34.5%","33.3%","32.2%","10.7%","7.1%","3.5%","0.0%",".328","32.9%","78.3%","52.8%","55.9%","80.1%","71.6%","43.8%","62.0%","15.0%","45.7%","25.0%","29.4%","16.3%","44.6%","39.1%","158","14942"
"Renato Nunez","Orioles","26",".246","8.1%","25.3%","0.32",".318",".455",".774",".209",".285","0.72","22.9%","32.3%","44.8%","17.3%","16.7%","3.3%","0.0%",".328","40.0%","67.1%","50.4%","63.8%","83.9%","74.1%","38.5%","62.3%","13.1%","42.9%","29.1%","28.0%","22.7%","46.4%","30.9%","578","14503"
