"Name","Team","Age","AVG","BB%","K%","BB/K","OBP","SLG","OPS","ISO","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","wOBA","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","PA","playerid"
"Brandon Drury","Blue Jays","27",".201","6.1%","21.6%","0.28",".248",".339",".588",".138",".224","1.22","22.8%","42.4%","34.8%","19.2%","12.8%","1.1%","0.0%",".251","37.5%","62.4%","47.7%","65.6%","86.6%","76.8%","40.8%","64.8%","11.0%","46.0%","31.3%","22.8%","26.3%","41.5%","32.1%","310","11615"
"Tyler Austin","- - -","27",".144","14.2%","35.9%","0.39",".264",".311",".575",".167",".184","1.00","11.5%","44.2%","44.2%","0.0%","17.4%","4.4%","0.0%",".250","27.5%","66.3%","42.6%","46.2%","75.0%","63.6%","38.9%","58.5%","15.5%","34.0%","30.2%","35.9%","11.3%","43.4%","45.3%","106","11850"
"Jon Jay","- - -","35",".234","4.4%","18.0%","0.24",".278",".293",".571",".059",".281","1.86","25.9%","48.2%","25.9%","2.3%","2.3%","11.3%","28.6%",".250","34.8%","67.2%","49.7%","72.9%","91.2%","84.3%","45.9%","61.4%","7.8%","28.9%","34.7%","36.4%","17.3%","57.8%","24.9%","228","5227"
"Charlie Culberson","Braves","31",".204","3.9%","33.7%","0.11",".243",".347",".590",".143",".295","1.36","16.1%","48.4%","35.5%","18.2%","9.1%","16.7%","0.0%",".250","44.3%","71.7%","55.9%","52.9%","79.8%","67.5%","42.4%","63.5%","18.1%","43.8%","34.4%","21.9%","23.4%","39.1%","37.5%","104","3298"
"John Hicks","Tigers","29",".202","3.0%","34.8%","0.09",".226",".372",".598",".170",".263","0.92","18.4%","39.0%","42.6%","16.7%","16.7%","9.1%","0.0%",".250","48.9%","82.1%","63.0%","52.7%","75.3%","65.2%","42.5%","71.7%","21.9%","44.8%","32.9%","22.4%","21.0%","39.2%","39.9%","230","12547"
"Jonathan Lucroy","- - -","33",".205","8.0%","17.9%","0.44",".285",".280",".565",".076",".243","1.15","20.4%","42.6%","37.0%","15.0%","2.5%","6.5%","0.0%",".249","29.3%","57.0%","41.4%","74.5%","91.1%","84.4%","43.4%","62.3%","6.4%","39.8%","33.3%","26.9%","19.4%","39.8%","40.7%","151","7870"
"Jarrod Dyson","- - -","35",".207","9.0%","18.4%","0.49",".281",".271",".552",".064",".248","1.40","18.6%","47.4%","34.0%","15.1%","4.7%","9.2%","54.6%",".248","25.1%","65.6%","43.4%","67.9%","87.1%","81.0%","45.2%","55.1%","8.2%","39.0%","35.2%","25.8%","24.2%","46.6%","29.2%","365","4866"
"Evan White","Mariners","24",".167","9.3%","39.8%","0.23",".248",".313",".561",".146",".250","1.00","17.5%","41.3%","41.3%","6.1%","15.2%","12.1%","0.0%",".248","28.3%","65.5%","44.9%","49.0%","76.6%","66.9%","44.4%","62.1%","14.9%","42.0%","30.9%","27.2%","13.6%","45.7%","40.7%","161","20078"
"Adalberto Mondesi","Royals","24",".222","2.8%","33.9%","0.08",".245",".335",".581",".114",".322","1.35","14.5%","49.1%","36.4%","12.1%","8.4%","9.8%","26.7%",".248","41.6%","79.5%","56.8%","42.8%","73.1%","59.8%","40.0%","66.4%","22.8%","44.9%","29.6%","25.5%","17.7%","46.9%","35.4%","387","13769"
"Chris Davis","Orioles","34",".170","11.0%","37.6%","0.29",".262",".296",".558",".126",".252","1.12","22.4%","41.0%","36.6%","6.1%","14.3%","5.5%","0.0%",".247","27.6%","63.2%","42.6%","47.0%","74.4%","64.1%","42.1%","54.8%","15.3%","38.8%","38.8%","22.4%","14.2%","51.5%","34.3%","263","9272"
"Bubba Starling","Royals","27",".211","5.1%","30.8%","0.17",".254",".308",".562",".097",".290","1.33","24.2%","43.3%","32.5%","11.8%","9.8%","10.3%","50.0%",".244","35.9%","67.5%","49.2%","46.8%","86.9%","70.0%","42.1%","65.6%","14.8%","49.1%","31.7%","19.3%","22.4%","48.5%","29.2%","253","13356"
"Josh Phegley","- - -","32",".196","4.6%","17.9%","0.26",".244",".327",".571",".131",".209","1.22","20.1%","43.9%","36.0%","8.5%","10.2%","6.9%","0.0%",".244","35.9%","63.5%","47.3%","61.5%","91.7%","78.2%","41.2%","66.1%","10.3%","48.5%","29.1%","22.4%","17.6%","51.5%","30.9%","218","9308"
"Sandy Leon","- - -","31",".184","9.1%","26.3%","0.35",".262",".281",".543",".097",".230","0.90","23.3%","36.4%","40.3%","19.2%","9.6%","17.0%","0.0%",".243","32.2%","59.9%","43.4%","68.7%","87.0%","78.9%","40.3%","57.9%","9.2%","41.0%","32.8%","26.1%","19.4%","49.3%","31.3%","209","5273"
"Gordon Beckham","Tigers","32",".207","3.4%","28.1%","0.12",".240",".329",".568",".122",".271","1.05","21.2%","40.4%","38.4%","7.9%","7.9%","7.5%","0.0%",".242","38.1%","70.0%","51.4%","66.4%","79.2%","73.7%","41.8%","58.2%","13.5%","52.5%","29.3%","18.2%","14.1%","50.5%","35.4%","146","9015"
"Scooter Gennett","- - -","29",".226","1.4%","29.5%","0.05",".245",".323",".568",".098",".304","1.33","23.9%","43.5%","32.6%","3.3%","6.7%","5.0%","0.0%",".241","47.7%","75.0%","58.2%","72.3%","81.3%","76.7%","38.3%","66.9%","13.6%","43.0%","39.8%","17.2%","14.0%","50.5%","35.5%","139","10339"
"Hernan Perez","- - -","29",".207","4.2%","27.1%","0.15",".239",".326",".565",".119",".266","2.16","18.6%","55.7%","25.8%","8.0%","12.0%","3.7%","0.0%",".240","38.2%","72.0%","52.8%","68.1%","80.8%","75.6%","43.3%","61.8%","12.9%","41.4%","35.4%","23.2%","16.2%","40.4%","43.4%","144","5751"
"J.T. Riddle","- - -","28",".185","4.4%","24.4%","0.18",".231",".338",".569",".152",".215","2.13","10.7%","60.7%","28.6%","12.5%","15.6%","1.5%","0.0%",".240","39.8%","72.4%","53.4%","60.5%","80.4%","71.7%","41.7%","64.4%","15.1%","51.8%","33.9%","14.3%","17.0%","42.0%","41.1%","160","17642"
"Isan Diaz","Marlins","24",".174","8.5%","29.6%","0.29",".251",".294",".545",".119",".229","0.98","15.7%","41.8%","42.5%","14.0%","8.8%","1.8%","50.0%",".240","25.8%","56.1%","37.4%","58.9%","83.8%","73.2%","38.3%","55.6%","10.0%","39.0%","31.6%","29.4%","17.7%","43.4%","39.0%","223","17922"
"Meibrys Viloria","Royals","23",".208","7.0%","30.8%","0.23",".263",".279",".542",".071",".298","2.42","18.0%","58.0%","24.0%","4.2%","4.2%","8.6%","50.0%",".238","26.4%","64.4%","43.9%","57.1%","78.4%","71.5%","46.1%","59.9%","12.5%","34.0%","37.7%","28.3%","17.0%","50.9%","32.1%","172","17109"
"Grayson Greiner","Tigers","27",".186","4.4%","32.9%","0.13",".228",".326",".554",".140",".250","1.37","15.5%","48.8%","35.7%","13.3%","13.3%","2.4%","0.0%",".237","34.8%","70.2%","49.1%","50.5%","77.8%","66.3%","40.4%","67.2%","16.4%","42.4%","36.5%","21.2%","20.0%","35.3%","44.7%","137","17062"
"Brett Phillips","- - -","26",".157","10.9%","27.7%","0.39",".248",".284",".532",".127",".191","1.12","20.3%","42.0%","37.7%","0.0%","11.5%","3.5%","50.0%",".236","20.8%","71.1%","43.5%","60.0%","78.1%","73.3%","45.1%","65.6%","11.6%","43.8%","37.0%","19.2%","19.2%","46.6%","34.3%","119","14735"
"Albert Almora Jr.","Cubs","26",".207","4.6%","19.4%","0.24",".245",".301",".546",".094",".234","1.82","21.6%","50.6%","27.8%","17.8%","11.1%","7.3%","0.0%",".232","43.5%","65.8%","51.9%","65.3%","86.6%","75.5%","37.6%","65.9%","12.7%","26.8%","43.9%","29.3%","25.0%","45.1%","29.9%","217","14109"
"Austin Hedges","- - -","27",".161","8.7%","30.8%","0.28",".244",".285",".529",".125",".207","0.67","18.5%","32.7%","48.8%","15.2%","10.1%","1.9%","0.0%",".231","34.3%","66.2%","47.4%","52.7%","81.6%","69.3%","41.2%","58.4%","14.5%","47.7%","34.1%","18.2%","19.4%","50.0%","30.6%","286","12976"
"Lewis Brinson","Marlins","26",".187","6.5%","28.1%","0.23",".249",".276",".525",".089",".253","1.69","17.3%","51.9%","30.8%","8.3%","6.3%","7.4%","0.0%",".231","37.8%","75.7%","52.3%","56.6%","81.4%","70.4%","38.2%","60.6%","15.5%","42.4%","38.0%","19.6%","15.8%","47.5%","36.7%","246","14352"
"Mike Zunino","Rays","29",".139","8.6%","39.3%","0.22",".226",".299",".524",".160",".183","0.73","12.3%","36.9%","50.8%","25.8%","15.2%","0.0%","0.0%",".231","34.1%","69.7%","47.5%","44.4%","73.1%","60.3%","37.7%","61.5%","18.9%","40.0%","39.2%","20.8%","28.5%","36.9%","34.6%","257","13265"
"Logan Forsythe","- - -","33",".160","10.5%","30.5%","0.34",".251",".255",".506",".094",".215","1.19","18.6%","44.3%","37.1%","9.6%","9.6%","6.5%","0.0%",".229","17.3%","54.7%","33.8%","53.0%","85.6%","76.3%","44.2%","60.3%","8.0%","42.1%","32.9%","25.0%","10.7%","44.3%","45.0%","239","7185"
"Keon Broxton","- - -","29",".154","9.5%","48.7%","0.19",".238",".262",".500",".108",".286","1.65","16.7%","51.9%","31.5%","11.8%","23.5%","7.1%","14.3%",".223","27.2%","68.2%","46.0%","41.9%","65.0%","57.6%","45.8%","66.9%","19.5%","37.7%","37.7%","24.6%","14.8%","54.1%","31.2%","148","9253"
"Billy Hamilton","- - -","29",".195","7.6%","23.8%","0.32",".255",".247",".502",".053",".261","0.81","20.7%","35.6%","43.7%","17.0%","0.0%","10.4%","22.2%",".222","30.8%","70.1%","49.2%","68.8%","87.5%","81.3%","46.7%","66.2%","9.3%","37.5%","31.9%","30.6%","22.9%","50.7%","26.4%","210","10199"
"Humberto Arteaga","Royals","25",".197","5.9%","20.7%","0.29",".258",".230",".487",".033",".255","1.77","22.6%","49.5%","28.0%","3.9%","0.0%","13.0%","0.0%",".221","42.1%","71.6%","53.8%","69.9%","86.8%","78.8%","39.5%","64.4%","11.4%","29.9%","29.9%","40.2%","14.4%","58.8%","26.8%","135","13595"
"Gregory Polanco","Pirates","28",".154","6.7%","41.6%","0.16",".210",".309",".519",".154",".226","0.85","20.0%","36.7%","43.3%","10.3%","15.4%","0.0%","0.0%",".221","38.0%","73.6%","50.8%","40.2%","71.3%","56.4%","36.0%","61.2%","22.2%","42.2%","37.8%","20.0%","11.1%","38.9%","50.0%","178","12907"
"Jeff Mathis","Rangers","37",".169","7.5%","38.0%","0.20",".230",".268",".498",".098",".264","1.02","21.7%","39.6%","38.7%","17.1%","7.3%","4.8%","0.0%",".217","34.9%","70.7%","50.5%","55.6%","72.6%","66.0%","43.7%","66.5%","17.2%","38.9%","39.8%","21.3%","19.3%","44.0%","36.7%","200","3448"
"Jake Rogers","Tigers","24",".125","10.2%","39.8%","0.25",".222",".259",".481",".134",".175","0.81","17.0%","37.3%","45.8%","22.2%","14.8%","0.0%","0.0%",".216","28.0%","62.2%","43.1%","50.6%","82.0%","70.6%","44.2%","60.9%","12.7%","57.1%","27.0%","15.9%","20.6%","50.8%","28.6%","128","19452"
"Jo Adell","Angels","21",".154","5.6%","41.6%","0.13",".208",".256",".464",".103",".242","1.12","15.4%","44.6%","40.0%","7.7%","11.5%","10.3%","0.0%",".207","34.6%","71.7%","50.7%","52.9%","66.1%","61.0%","43.4%","65.6%","19.8%","35.4%","35.4%","29.2%","20.0%","44.6%","35.4%","125","20220"
